artist,album,id
gunna,drip season 3,PLumGIepoM1WzBlV81b8qO5sWbR-0jf27F
gunna,drip season 2,PLnikWbtnBaM6g-FgAUWBNvdS16l2ar3VR
gunna,drip season,PLnikWbtnBaM6FaLCWdo4we17x3EaBYI-a
gunna,drip or drown,PLnikWbtnBaM7ii26PLXG9cs2VP5KA8dfB
lil baby,harder than ever,OLAK5uy_lSdiMFDVx5tPuiVDz53qog1uikisR51UE
lil baby,too hard,OLAK5uy_nzTO20WOyhKJX2ulkRfx6zZU15TgEWtZ8
lil baby,baby's world,OLAK5uy_k_Ri7SJUGhr55QMhHfOZO-qdDeCLLska4
lil baby, harder than hard,OLAK5uy_mz-6oC9N-IouSlyMEJXOrZMB3JaWTNrdA
lil baby,perfect timing,OLAK5uy_nyYEcqJ2yFDRc5oH3z97HWt5-s5hbrdTw
lil yachty,lil boat 2,PLbje3Y-j5So8aioMz13NHjqmNtF9SDGfT
lil yachty,teenage emotions,PLCpjewM2guHKbOqLxnbUtuQG2W_-nJRC-
lil yachty,summer songs 2,PLGvUTeRq0hGnixKmKiFG74hqKaONrJxC1
lil yachty,lil boat,PLIg_FqcW9xPWZ02MjG-nzlSw2rtVnL47q
travis scott,astroworld,PLYr_W30LmMuGkCrCxJ1PNmlne9uqolbrc
travis scott,birds in the trap,PLS-rtCRab9YVRvMdVMxDQw3jPksagRi8G
travis scott,owl pharoah,PLrNIBOhiKUqA4lvfnLR5DEg4szPQfM_hL
moneybagg yo,bet on me,PLgJK7go-fwadXcl_gXXC5JeMqVJtrzpqm
moneybagg yo,2 heartless,PL2iffvd7yDq6MlAkV4-RKECQCx73RXrZ6
moneybagg yo,fed baby's,PLMZtBbpITYEZH-WL9S7tLcrCOMqLVcRQD
moneybagg yo,federal 3x,PL9h848lXsWjqivC3Tr-oexGP913-xBiRt
moneybagg yo,heartless,PLp9yr-AGLfgmdK7e9zNkj5_Wk0mlVTE9G
future,beast mode 2,PLtVeFCyyoXQlS1gsU2OqaDsapQ3K2UgVk
future / young thug,super slimey,PLtK7pK_HMYXxKZsf3cEBAeIG_NpJgIb0Y
future,purple reign,PLq3wF2DPwLNgiqoUgAwKF4n42lZT00WKQ
key glock,glock bond,OLAK5uy_m-i1R8hpawxCz-mxRmQ6L4NBtYPBkHWkg
key glock,glock season,OLAK5uy_lThZ4oT-BolsGCd0Vx18D4PRHHm5yFtoY
hoodrich pablo juan,hoodwolf 2,OLAK5uy_lyLXoC0x3LSTzn5Az519FWMToUl_dapMk
hoodrich pablo juan,rich hood,OLAK5uy_l4Vgl-GkF_jHXbRiFwqzVE95JqwOgQErg
hoodrich pablo juan,designer drugs 3,OLAK5uy_kSFDyfnw1yeZaXJBSV8Crr8phr9Rn66sU
hoodrich pablo juan,master sensei,OLAK5uy_k8Gc9jC2_CzgPRQ83kd8a7AOzB4-Q_Qug
hoodrich pablo juan,the matrix,OLAK5uy_ngIA5_W1rLo33aROAbtNEUM8lFB1Nac00
peewee longway,spaghetti factory,PLolJ8Pi6cys4AljG53vkpqHq3rErniVqm
peewee longway,blue m&m 3,PLUe_dHwv1xtYSSMBlkiaAj23KnlOOz821
peewee longway,mr. blue benjamin,PLCujnF5mHQSGV0Mp8CTtAT4JStNHfia4s
peewee longway,trap sinatra,PLP8nnx-9EZp5hgQ3Ffv5CTjD7P22NldAI
playboi carti,die lit,PLcFkY_0HaF8Z9OIjz27l5ALTlDvwJyZSw
playboi carti,playboy carti,PLgdJ_V3el-27jj7npmQNPrnvbkIUtgf5J
young nudy,nudy land,OLAK5uy_mh2BfjZyRvAsIqRZWxzdwpfWx27D_-_0g
young nudy,slimeball 3,OLAK5uy_mv8i_4d6cE451fD5sKmL3T-y7MIA4zb-U
young nudy,slimeball 2,OLAK5uy_mHSSmQcb45e37egzKgAXJRiyhVf93Dyg0
young nudy,slimeball,OLAK5uy_lAjgJ-PeSeHIUVv8XdCjmgt4c_uhaKZuM
youngboy nba,4respect 4freedom,PL8lfZ-OnuL7FqRYTyA61_G305F0zuSuHJ
youngboy nba,until death call my name,PLu3cF-CSuhLm9dmU79MYDZ_qbKPEZZh-n
youngboy nba,AI youngboy,PLyJIN6cfBVdAwS65MoI5C-xWifdnzdDfz
youngboy nba,before i go reloaded,PLf6wKT_UROdHJPvlQLIw0F2KPTLR0trRI
sauce walka,drip god,OLAK5uy_nIabO61gSllMdtWL9TFnG7GxczXpTleKk
sauce walka,saucefather,OLAK5uy_lS-Izf-ZFos00Go6xfyoiy4Zk-bAjsysk
sauce walka,holy sauce,OLAK5uy_nr_dC3EHEYnqJaU9_iDvVqk9A2YwCSe-w
future,astronaut status,PLol0UrAMwW20pQoc6HaG_rzMVl3g09B3p
young thug,slime season 3,OLAK5uy_liii8J0CpXJYIjJeLvIEYlVl0sMyHD9Hw
gucci mane,el gato: the human glacier,PLKCmqB3FocjQdMXoGVnFlV0Y2xv2zDI_A
gucci mane,mr. davis,PLZIygRkJpYGhpcUAMnQWIhbVnCzRAu2TV
gucci mane,breakfast,PLmiTHA20Q9eB-Z9FTPwtrEzsmG3PF4YOO
blocboy jb,who am i 3,PLs52uOSaVpKV_4ZqsaGrriTMnS6tK7I7d
blocboy jb,simi,PLg0FfRf74qaDXPQpRyo18HtTalaIwpRoo
q da fool,100 keys,OLAK5uy_lyGCiLMsfhB75etoMVw9oSg9eGdAv5J6I
q da fool,no competition,OLAK5uy_nG8WowKVy0BwF5_ntWzhYyMjHJyZpMTf0
q da fool,rich shoota 2,OLAK5uy_n0uGtWViLCEA8qY7UDoeLI0j1jcLCjzho
young dolph,thinkin out loud,PLiiGljDhq7OBimW3cIiS2Ai6Qqt4HYopi
young dolph,bulletproof,PLwLbJTCp5DDbI9y-xajog6kElf6THVY-N
young dolph,gelato,PLj9yMM_qKsyBo9pZPNDu2sAHSUP2IB6p8
blac youngsta,fuck everybody 2,PLE-ZbPDqijoEAz0DJRJ38B-6cJ44cLZBM
blac youngsta,223,PLfkLJpZAZgstArF2sPJanFVH2xFiuhDP2
blac youngsta,young and reckless,PL1NDeAXmDKaFnBv9hhU8urYZX3fa0DnDq
yungeen ace,life of betrayal,PLW0UPNIUbP3oKjhNvDhCsgYxUlOQhM-W9
jaydayoungan,23,OLAK5uy_nHZ3ZwT5pWydZx2PTVTe88SQIT3Yst2sM
yella beezy,lite work 2,PL5N0QXjwW4fzcJD-213qEDJJQ63TqdiZ_
yo gotti,i still am,PLuXMwNFffmvjBdYGj5UrfOPzGa-jTOfA3
yo gotti,art of hustle,PLhdoLtlnIeG_UtYbz-QiIX6ZyMpsmHqyP
yo gotti,i told you so,PLH1bPy6LKIEu0c2dyFkMav4iae6eK6G8O
beatking,stripper friends,PLyt_CR02QG8NR4hROsIXBCtuMo0LVSxQN
killa kyleon,candy paint and texas plates,OLAK5uy_mUjWtX2S3ONy_r__IKwA_tqMyTCrqhxk4
doughbeezy,king beezy,OLAK5uy_loFJsKXOsMeGlESdRyOdJg8RnpvCmIFKI
fbg duck,look at me 2,OLAK5uy_m5o3czUtW7gVlhrC9BWzA_7Q9Vd4C5f3I
fbg duck,different personalities 2,OLAK5uy_nAiDBWRumu3HN9sNGS54FJRFxWzCV6rG0
z money,chiraq mogul,OLAK5uy_kWEA4B2OHsRqBNy6Iz7w2Gg_t17eBYLa0
marlo,the real 1,OLAK5uy_mjvPT6brr1xPddwNws8iS1cjUakO6dEh0
sg tip,block boy tip,OLAK5uy_k4CtsMTj3P9JLyfHfX4-c98T0hi01A9Mc
omb peezy,loyalty over love,OLAK5uy_l5Zuk_4EuTRTKDnNISPO-ZRGmm_aSreu4
rod wave,hunger games 2,OLAK5uy_nxxLPc6105vbgeP1TJ0rE54TXy7Is3BQk
kodak black,project baby 2: all grown up,PLRUXdCa9RaNY_ROz1mjuyYHxx-Dqk3hGa
skippa da flippa,up to something,OLAK5uy_kID49T8sVhKQSbS8NSMi4bMfnxLryXpRk
trapperman dale,trapstar,OLAK5uy_kn4H5vH13t4uk1N8Z0dEzEFDSqnEwETYQ
starlito,at war with myself 2,OLAK5uy_kUxu6EkNc6Y0ZAxnthcrkmHjcycsl-BfY
mobsquad nard,nardo divinci,PLjcfz2zZXfpFiNAHm5rgy8vo_Q8uc_zpp
boosie,boopac,PLsT6ulGAmZ7_UtoAhyRohRMH0bE1OQBFt
bandit gang marco,bandit ruffin,PLSLPrwAuIxWrfsvPELe4gLDZwbhyQmi4D
sherwood marty,stuck in the trenches 1.5,PLPRWtKgY2MOs5WnVNRDq4SQrJnOpAbhRN
mista cain,big cain,PLPRWtKgY2MOvcnN3NoBdOz4ShusWGc1CQ
go yayo,good dope vol. 2,PLPRWtKgY2MOtSXg5tn9EZ2P3TBZvcAhdI
sosamann,sauce the world,OLAK5uy_lwptfD5TRyxEsXrj8fpjTZxJbTziDBrkw
yhung TO,on my momma,OLAK5uy_n-U1vA33YkwgnglpSgIuzq6i5rCMXunXc
slimmy b,problem child,OLAK5uy_lxhk0jpfoQEknmghwV1m0UkkJKf0UhD4c
philthy rich,nernl 4,PLCurHJEbolxRUQ8EZvKbblRmyYJFvsN21
philthy rich,sem god,PLnqX2vLHxAinWb17o5YLlyBtQz-ZekJC5
fmb dz,in my bag,OLAK5uy_m-og6JPwqIZcjK-xfLSShWARhbgRyr40k
fmb dz,the gift,OLAK5uy_mHG-7ek_FLdlVXh1MewosPCQ5mwz3PF4s
nef the pharoah,big chang theory,OLAK5uy_lM1qKJafqokgVHU_xU2B8qSPwtnwgMpFo
cuban doll,aaliyah keef,PLYgc15EoMgpNKrkRpHjHnu6Nd6G15zeI-
asian doll,doll szn,PLzWX8qjLiGWHckdcPUzTHfi7h13PROLyk
don q,don season 2,PLln35YodYd_x6zqBJagLRlTja_CeRMNk4
don q,corner stories reloaded,PLK0cqo55vk8vKLSQMZR_M5Yjq3CYxW4Fl
lil uzi vert,symere woods,PLESybaEJxHrVyiB8Y8VLmej-cIO-WeARj
lil uzi vert,perfect luv,PLJAofIaDKbcVSGeckpAMDRGps_C1ZDHSu
lil uzi vert,lil uzi vert v. the world,PLnHtxiCsepCkk4jLHXB4fZYU-5UUhBIZA
lil uzi vert,luv is rage,PLpTC8QjDMbZYeRxjFOy3N_Bf_ggarvMql
rico nasty,nasty,PLpbLQOz-JDECkMht58L23GvWko0s4Jv35
rico nasty,sugar trap 2,PL0yu_zP1YkmQXvO19I6ersXFAzu1tWWj7
rico nasty,tales of tacobella,PLJe-5NnF1WIGCyIBv615ioJ5Ck5jNu1oU
shy glizzy,young jefe 2,PLoCZv_wu2tAn0mbJFLAd1Ufbm1h9hwY1_
shy glizzy,FTO,PLX_QPpSnQScE3fL1zEA7apBzb8s3RiGIT
a boogie wit da hoodie,the bigger artist,PLOcBwJ2-TeN0zh4Me9nsGVf6gM965M36g
a boogie wit da hoodie,artist,PLQ6JpJqD9ceKw8D3B2RbA_LJBSEaCPlpB
tee grizzley and lil durk,bloodas,PLKUSU3bq_jcesVWM7B7_-jgDrqVXRLBo4
tee grizzley,activated,PLohPD3EyKMzPeRGGoVxpeK4Il6tKNXgZZ
city girls,period,OLAK5uy_k7qEii-oTtZk9qpJoRhikjHw90PUNG1c4
drakeo the ruler,cold devil,PLsnOz_WWsbOLesasaTqkJkuxaMP_-Cs7q
drakeo the ruler,so cold i do em,PLbLwmUXHEf5r-osU92PF54hn2SnfDa7Dv
drakeo the ruler,i am mr. mosely 2,PL7T_38xg-BnIDKxOHjaMO2YxoxFchjYOm
allblack,outcalls,OLAK5uy_nWI_7hS3TXpzx8eFP3y5T4eF3NWLMqFhE
shoreline mafia,shoreline do that shit,PLM9h80osca5STiQ-lGpw6yJ9z5yOsiqwY
bandgang lonnie,the get back,OLAK5uy_kYGMJbQ30Epo_uSucRMEq8v5S4l8euJFo
bandgang javar,bandlife,OLAK5uy_lyB8Wgtc7cvespBN3BhZX6agP6KCds55M
shredgang mone,black mask bandit,PLqjw85Buzg8VO0scG_OeIl2db6LxgA5nn
cupcakke,ephorize,PLETTz1rqjch775SnoLP8HsSsc-x-c93Wr
noname,room 25,PLG-w1x0ShtOJ8rm_HDtnZa1ER9ADLM0_D
quando rondo,life b4 fame,PL4J9wSIQjoGIc3Kqub1UAt81hBtnH1n-O
street money boochie,boochie,OLAK5uy_kWAYbIvOviV7WvhVH8VUW_htC_bWIm7VM
ybs skola,life of a shinner,OLAK5uy_np7qbqblhxa1MDcsYQBI1ZxSsGqJyTk00
yfn lucci,ray ray from summerhill,PLK9vZuXPALK40eXvz192jj5lgs5Mscf0G
sahbabii,squidtastic,OLAK5uy_lll0ju5ztuNWWvKc4VOnvwBQMWfhJOx_Q
lud foe,boochie gang,PLtrdZ0cNgQpsmDV9hwvrW4ZAqIlbV5zmW
shad da god, city of god,OLAK5uy_k8R07yaIEWlIDceH_e8rY9xN_3i8nHOWA